"","x"
"347","Basal"
"348","Basal"
"349","Basal"
"350","IFE-DII"
"351","IFE-DI"
"352","IFE-DI"
"353","Basal"
"354","Basal"
"355","Basal"
"356","Basal"
"357","Basal"
"358","Basal"
"359","IFE-DI"
"360","Basal"
"361","IFE-DI"
"362","Basal"
"363","Basal"
"364","Basal"
"365","Basal"
"366","Basal"
"367","IFE-DII"
"368","Basal"
"369","Basal"
"370","IFE-DI"
"371","Basal"
"372","Basal"
"373","Basal"
"374","IFE-DI"
"375","Basal"
"376","Basal"
"377","Basal"
"378","Basal"
"379","IFE-DI"
"380","Basal"
"381","Basal"
"382","Basal"
"383","Basal"
"384","Basal"
"385","Basal"
"386","Basal"
"387","IFE-DII"
"388","IFE-DII"
"389","Basal"
"390","Basal"
"391","Basal"
"392","IFE-DI"
"393","IFE-DI"
"394","IFE-DII"
"395","IFE-KI"
"396","IFE-DI"
"397","IFE-DII"
"398","IFE-KI"
"399","IFE-DII"
"400","Basal"
"401","Basal"
"402","IFE-DII"
"403","IFE-DI"
"404","IFE-DII"
"405","IFE-DII"
"406","IFE-DII"
"407","IFE-DI"
"408","IFE-KII"
"409","IFE-DI"
"410","IFE-KI"
"411","Basal"
"412","IFE-DII"
"413","IFE-DI"
"414","IFE-DII"
"415","IFE-DII"
"416","IFE-DII"
"417","IFE-DII"
"418","Basal"
"419","IFE-DII"
"420","IFE-DI"
"421","IFE-DII"
"422","IFE-DI"
"423","IFE-DII"
"424","IFE-KI"
"425","IFE-DII"
"426","IFE-KI"
"427","IFE-DII"
"428","IFE-KI"
"429","IFE-DII"
"430","IFE-KI"
"431","Basal"
"432","IFE-DI"
"433","IFE-KI"
"434","Basal"
"435","IFE-KI"
"436","IFE-DI"
"437","IFE-DI"
"438","IFE-DI"
"439","IFE-DI"
"440","IFE-KI"
"441","Basal"
"442","IFE-KI"
"443","IFE-DI"
"444","IFE-KI"
"445","IFE-DI"
"446","IFE-DI"
"447","Basal"
"448","Basal"
"449","Basal"
"450","IFE-DI"
"451","IFE-DII"
"452","IFE-KI"
"453","IFE-DII"
"454","Basal"
"455","IFE-DII"
"456","IFE-DII"
"457","IFE-DII"
"458","IFE-DII"
"459","IFE-DI"
"460","IFE-DI"
"461","IFE-KI"
"462","IFE-DII"
"463","Basal"
"464","Basal"
"465","IFE-DI"
"466","Basal"
"467","Basal"
"468","Basal"
"469","Basal"
"470","Basal"
"471","Basal"
"472","Basal"
"473","IFE-DI"
"474","Basal"
"475","Basal"
"476","IFE-DI"
"477","IFE-DI"
"478","Basal"
"479","IFE-KII"
"480","Basal"
"481","IFE-DI"
"482","Basal"
"483","Basal"
"484","IFE-KI"
"485","Basal"
"486","IFE-DI"
"487","Basal"
"488","IFE-DI"
"489","Basal"
"490","IFE-DI"
"491","Basal"
"492","Basal"
"493","Basal"
"494","Basal"
"495","Basal"
"496","Basal"
"497","Basal"
"498","IFE-DI"
"499","Basal"
"500","Basal"
"501","IFE-DI"
"502","Basal"
"503","IFE-DII"
"504","Basal"
"505","IFE-DII"
"506","Basal"
"507","Basal"
"508","Basal"
"509","IFE-DI"
"510","IFE-DII"
"511","Basal"
"512","IFE-DI"
"513","Basal"
"514","Basal"
"515","IFE-DI"
"516","IFE-DI"
"517","Basal"
"518","Basal"
"519","Basal"
"520","IFE-KI"
"521","IFE-KI"
"522","IFE-DII"
"523","IFE-DII"
"524","IFE-DI"
"525","IFE-KI"
"526","IFE-KI"
"527","IFE-KI"
"528","IFE-KI"
"529","Basal"
"530","Basal"
"531","IFE-KI"
"532","IFE-KI"
"533","Basal"
"534","Basal"
"535","Basal"
"536","Basal"
"537","IFE-DII"
"538","Basal"
"539","IFE-KI"
"540","IFE-DII"
"541","IFE-DII"
"542","Basal"
"543","IFE-DI"
"544","IFE-DII"
"545","IFE-DII"
"546","IFE-DI"
"547","IFE-KII"
"548","IFE-DII"
"549","IFE-KI"
"550","IFE-DII"
"551","IFE-DI"
"552","IFE-DII"
"553","IFE-DII"
"554","Basal"
"555","Basal"
"556","IFE-KII"
"557","IFE-KI"
"558","IFE-DII"
"559","Basal"
"560","Basal"
"561","IFE-KII"
"562","Basal"
"563","IFE-DI"
"564","IFE-KI"
"565","Basal"
"566","IFE-DI"
"567","IFE-DI"
"568","IFE-DII"
"569","IFE-DII"
"570","IFE-DI"
"571","Basal"
"572","IFE-DI"
"573","IFE-KI"
"574","IFE-KII"
"575","IFE-DI"
"576","Basal"
"577","IFE-DI"
"578","IFE-DI"
"579","Basal"
"580","IFE-KI"
"581","Basal"
"582","Basal"
"583","IFE-DI"
"584","IFE-DII"
"585","IFE-DI"
"586","IFE-KI"
"587","IFE-KI"
"588","IFE-KII"
"589","IFE-KII"
"590","IFE-KI"
"591","IFE-KI"
"592","IFE-DI"
"593","IFE-DII"
"594","IFE-DI"
"595","Basal"
"596","IFE-DII"
"597","IFE-DII"
"598","IFE-KI"
"599","IFE-KI"
"600","IFE-KI"
"601","IFE-DII"
"602","IFE-KI"
"603","IFE-DI"
"604","IFE-DII"
"605","IFE-DII"
"606","IFE-DI"
"607","IFE-DI"
"608","IFE-KI"
"609","IFE-DII"
"610","IFE-DI"
"611","IFE-KII"
"612","IFE-DI"
"613","IFE-DI"
"614","Basal"
"615","IFE-DII"
